EmployeeID,Gender,Department,JobRole,JobLevel,CTC,Bonus,PerformanceRating
E3078,Male,Operations,Manager,Manager,925405.0,115840.0,2.8
E3079,Female,IT,Senior Manager,Senior Manager,566835.0,117337.0,2.1
E3080,Female,Finance,Analyst,Analyst,724789.0,135990.0,2.3
E3081,Female,IT,Director,Director,911193.0,198799.0,1.4
E3082,Male,HR,Manager,Manager,647314.0,117728.0,5.0
E3083,Male,Marketing,Director,Director,1055940.0,182452.0,3.3
E3084,Male,Operations,Analyst,Analyst,509590.0,40784.0,3.0
E3085,Male,Finance,Senior Manager,Senior Manager,1046655.0,194726.0,3.1
E3086,Female,Operations,Senior Manager,Senior Manager,862162.0,55395.0,2.6
E3087,Male,HR,Manager,Manager,875857.0,95737.0,2.2
E3088,Female,Finance,Analyst,Analyst,521173.0,94996.0,4.2
E3089,Male,IT,Manager,Manager,667674.0,46523.0,2.5
E3090,Male,Finance,Senior Manager,Senior Manager,926274.0,95415.0,4.2
E3091,Female,IT,Analyst,Analyst,757339.0,95719.0,3.6
E3092,Female,Operations,Analyst,Analyst,569900.0,98594.0,2.7
E3093,Female,Marketing,Analyst,Analyst,746955.0,116570.0,3.6
E3094,Female,Operations,Director,Director,1071341.0,263543.0,2.4
E3095,Female,HR,Senior Manager,Senior Manager,1055913.0,210776.0,4.5
E3096,Female,Marketing,Manager,Manager,848701.0,64178.0,3.5
E3097,Female,HR,Manager,Manager,694756.0,65948.0,3.6
E3098,Female,Finance,Manager,Manager,484037.0,66740.0,2.0
E3099,Male,HR,Manager,Manager,737724.0,72399.0,3.6
E3100,Male,IT,Manager,Manager,686782.0,156164.0,2.8
E3101,Female,IT,Senior Manager,Senior Manager,949560.0,202436.0,1.7
E3102,Female,Marketing,Director,Director,993910.0,199784.0,2.8
E3103,Female,HR,Director,Director,943195.0,184581.0,4.2
E3104,Male,Marketing,Analyst,Analyst,740817.0,63329.0,3.7
E3105,Male,IT,Manager,Manager,723637.0,171848.0,3.3
E3106,Male,HR,Senior Manager,Senior Manager,761837.0,162696.0,3.4
E3107,Female,Marketing,Senior Manager,Senior Manager,660968.0,144184.0,3.0
E3108,Female,Finance,Manager,Manager,924266.0,155341.0,3.3
E3109,Male,Finance,Manager,Manager,729412.0,118897.0,1.1
E3110,Male,IT,Manager,Manager,765739.0,135734.0,3.8
E3111,Male,Marketing,Analyst,Analyst,657371.0,93551.0,2.4
E3112,Female,IT,Analyst,Analyst,497938.0,104574.0,2.8
E3113,Male,HR,Director,Director,791939.0,155707.0,3.3
E3114,Female,Operations,Director,Director,1013352.0,122694.0,1.8
E3115,Male,HR,Analyst,Analyst,774577.0,39539.0,3.3
E3116,Female,Marketing,Senior Manager,Senior Manager,917794.0,221752.0,2.2
E3117,Male,HR,Director,Director,827243.0,65995.0,1.6
E3118,Female,IT,Senior Manager,Senior Manager,795260.0,198232.0,3.7
E3119,Female,Operations,Director,Director,708706.0,137782.0,2.2
E3120,Male,IT,Analyst,Analyst,711911.0,91342.0,3.2
E3121,Female,IT,Director,Director,869891.0,44054.0,4.7
E3122,Male,Operations,Senior Manager,Senior Manager,991510.0,207066.0,1.5
E3123,Male,Finance,Senior Manager,Senior Manager,739709.0,108141.0,3.2
E3124,Male,Marketing,Analyst,Analyst,622146.0,103274.0,2.4
E3125,Female,Finance,Manager,Manager,946394.0,161547.0,4.9
E3126,Female,IT,Analyst,Analyst,671103.0,69771.0,4.0
E3127,Male,Marketing,Analyst,Analyst,757489.0,49549.0,3.0
E3128,Male,Marketing,Director,Director,905613.0,187443.0,2.8
E3129,Female,IT,Senior Manager,Senior Manager,921844.0,141460.0,3.9
E3130,Male,Marketing,Senior Manager,Senior Manager,816761.0,94449.0,1.9
E3131,Male,Marketing,Senior Manager,Senior Manager,823771.0,77535.0,2.2
E3132,Male,Marketing,Manager,Manager,795697.0,198661.0,4.5
E3133,Female,Operations,Director,Director,1029211.0,138171.0,3.2
E3134,Female,Finance,Director,Director,1029852.0,75866.0,4.2
E3135,Female,Finance,Analyst,Analyst,563493.0,71432.0,4.1
E3136,Female,Operations,Analyst,Analyst,785189.0,68229.0,4.9
E3137,Female,Finance,Analyst,Analyst,459064.0,25358.0,1.6
E3138,Female,Operations,Director,Director,747787.0,82066.0,3.1
E3139,Female,Marketing,Manager,Manager,696607.0,152130.0,4.0
E3140,Female,Finance,Senior Manager,Senior Manager,776076.0,109921.0,3.5
E3141,Female,Finance,Manager,Manager,713803.0,47197.0,1.9
E3142,Male,Operations,Director,Director,1172670.0,161090.0,3.0
E3143,Male,Operations,Analyst,Analyst,693373.0,56705.0,3.9
E3144,Female,Operations,Director,Director,996215.0,199517.0,2.0
E3145,Female,IT,Analyst,Analyst,614581.0,39205.0,3.4
E3146,Male,HR,Manager,Manager,695559.0,71184.0,2.9
E3147,Female,IT,Manager,Manager,693466.0,69284.0,3.4
E3148,Female,Marketing,Analyst,Analyst,503619.0,70480.0,3.9
E3149,Male,IT,Analyst,Analyst,598318.0,37413.0,2.5
