EmployeeID,Department,JobLevel,Gender,PerformanceRating,CTC
E1077,IT,Manager,Male,3.5,592847.2872960448
E1078,Finance,Director,Male,4.9,471074.9381367681
E1079,Marketing,Director,Male,2.1,498483.04129507445
E1080,Finance,Director,Male,2.3,518062.69056136784
E1081,IT,Associate,Male,4.2,276897.65224724344
E1082,IT,Analyst,Female,4.1,461917.1390404747
E1083,Operations,Manager,Male,3.9,984518.9473980921
E1084,Marketing,Manager,Female,3.0,586939.5753463765
E1085,Operations,Analyst,Female,2.4,277628.4572551843
E1086,HR,Manager,Female,3.1,751172.7962224965
E1087,HR,Analyst,Male,3.4,524077.4873554036
E1088,Operations,Associate,Female,3.2,618030.1115735975
E1089,HR,Manager,Male,3.0,1108025.3749884428
E1090,Operations,Analyst,Male,3.8,271426.3665375576
E1091,IT,Director,Male,2.2,472370.86228647776
E1092,HR,Analyst,Female,3.0,507100.0741138138
E1093,Finance,Director,Female,3.6,389075.6631014691
E1094,HR,Analyst,Male,2.4,172772.91629712027
E1095,HR,Manager,Female,2.8,828459.8191485209
E1096,IT,Senior Manager,Female,3.4,213139.1831932018
E1097,Finance,Associate,Female,3.4,457797.6069593255
E1098,IT,Manager,Female,2.4,723058.7658918293
E1099,Finance,Director,Female,3.3,228554.45532540654
E1100,IT,Manager,Male,3.5,784117.6789552352
E1101,Operations,Analyst,Male,4.2,558070.3078052355
E1102,Finance,Manager,Female,2.0,559326.2440127316
E1103,Finance,Director,Female,3.7,477067.89263683127
E1104,Marketing,Senior Manager,Female,3.7,977909.7235982082
E1105,HR,Senior Manager,Female,3.7,570334.8460270899
E1106,IT,Associate,Male,4.1,497708.68769586965
E1107,HR,Senior Manager,Male,2.9,513845.3830739901
E1108,HR,Manager,Female,2.5,664477.2089889987
E1109,Marketing,Director,Male,2.8,412281.1209079484
E1110,HR,Manager,Female,5.0,419910.2211112378
E1111,IT,Senior Manager,Female,3.8,158092.61932155225
E1112,HR,Associate,Male,2.8,563342.5895451049
E1113,IT,Analyst,Female,3.3,238338.28331060408
E1114,Finance,Senior Manager,Male,2.6,501939.6623402014
E1115,Finance,Manager,Female,2.5,732468.7884372963
E1116,HR,Associate,Male,3.2,302259.9478591275
E1117,Marketing,Associate,Male,5.0,495087.85334770166
E1118,Finance,Associate,Female,1.4,427968.14721541415
E1119,HR,Director,Male,2.6,527865.0002194336
E1120,IT,Senior Manager,Male,2.5,382789.5337799652
E1121,HR,Senior Manager,Female,3.7,529863.2791255182
E1122,IT,Manager,Female,2.1,649824.8146238577
E1123,Finance,Manager,Male,2.8,602000.6151139432
E1124,Finance,Manager,Female,4.8,760747.2566441434
E1125,HR,Associate,Male,2.1,537679.2920582164
E1126,Marketing,Director,Female,5.0,554869.789082672
E1127,Marketing,Manager,Female,1.8,627364.8890700623
E1128,Finance,Analyst,Male,4.3,293849.5801571829
E1129,Finance,Director,Male,3.6,516195.1080144005
E1130,HR,Analyst,Male,2.4,391071.19659073
E1131,HR,Associate,Male,1.0,246341.8537998565
E1132,Finance,Associate,Female,3.0,212832.52270527257
E1133,Marketing,Director,Male,4.7,185478.7933059051
E1134,Marketing,Director,Male,2.8,419611.0865929137
E1135,Marketing,Manager,Male,4.5,484620.6773230841
E1136,Finance,Senior Manager,Female,4.2,401534.95915293804
E1137,IT,Analyst,Female,2.3,469315.5211394906
E1138,IT,Director,Female,3.4,309967.46842618077
E1139,Marketing,Manager,Female,3.3,642202.960470736
E1140,Operations,Manager,Male,3.3,799319.601178157
E1141,Marketing,Director,Male,4.6,214327.67517597266
E1142,HR,Director,Male,5.0,107186.83007162473
E1143,HR,Director,Female,3.1,488247.58097268647
E1144,Operations,Senior Manager,Female,3.5,306595.0720269109
E1145,Marketing,Manager,Female,3.0,626049.8598011751
E1146,Finance,Director,Female,2.7,527440.3145531537
E1147,IT,Associate,Male,3.5,296063.5607109019
E1148,Marketing,Associate,Female,4.0,446094.9281314914
E1149,Finance,Senior Manager,Female,3.9,494444.3262885418
E1150,Marketing,Senior Manager,Female,2.5,315972.84397045453
E1151,HR,Associate,Female,3.9,491555.53981501976
E1152,Finance,Associate,Female,3.2,417599.1074963173
E1153,Marketing,Director,Male,4.3,311264.2916746255
E1154,Finance,Manager,Male,3.7,669671.1021349159
E1155,IT,Associate,Male,3.0,564816.5277980786
E1156,Operations,Senior Manager,Male,3.9,522026.4454000958
E1157,Operations,Senior Manager,Female,4.4,403150.57624491386
E1158,HR,Manager,Female,3.8,653459.9865109816
E1159,Marketing,Analyst,Female,3.5,380478.5418448473
E1160,Operations,Associate,Female,3.3,489273.553815537
E1161,Operations,Manager,Female,2.5,1013858.0913528191
E1162,Marketing,Manager,Male,2.3,517871.70808184013
E1163,Finance,Analyst,Female,4.2,518749.40409444046
E1164,IT,Associate,Female,3.8,494251.826389642
E1165,HR,Senior Manager,Female,3.2,265411.8442771253
E1166,IT,Analyst,Female,3.3,298425.74327318324
E1167,Marketing,Director,Male,4.1,377941.39277467923
E1168,HR,Associate,Female,2.5,351792.123752051
E1169,Operations,Senior Manager,Female,3.6,315441.3170794038
E1170,Finance,Senior Manager,Female,2.5,436553.08172378683
E1171,Marketing,Director,Male,3.4,323958.52369433054
E1172,IT,Analyst,Male,2.8,434807.49060364545
E1173,HR,Senior Manager,Female,1.9,188880.43384351674
E1174,Finance,Senior Manager,Male,2.6,367982.9272432229
E1175,HR,Analyst,Female,3.5,621303.4325424328
E1176,HR,Manager,Female,4.0,676009.220505486
E1177,Finance,Senior Manager,Female,3.2,249620.5953043287
E1178,Operations,Associate,Female,3.2,356701.20416197926
E1179,Marketing,Manager,Male,3.5,575915.3584671516
E1180,Operations,Senior Manager,Male,3.7,629910.8369503866
E1181,Finance,Manager,Male,3.1,760256.7583148412
E1182,HR,Director,Female,3.8,339816.9292171246
E1183,Marketing,Associate,Male,3.4,401888.8601172693
E1184,Marketing,Associate,Male,3.3,284048.53242168005
E1185,Finance,Director,Female,3.2,474699.74368681747
E1186,Operations,Senior Manager,Female,4.5,543890.623912781
E1187,IT,Analyst,Female,5.0,284897.8655667926
E1188,Finance,Senior Manager,Male,4.0,427501.30086075276
E1189,Finance,Manager,Male,5.0,578755.2571967273
E1190,HR,Analyst,Male,2.4,310091.1031833966
E1191,Finance,Analyst,Male,1.3,321136.74674788583
E1192,Finance,Senior Manager,Male,2.5,422559.0679714312
E1193,Finance,Senior Manager,Female,3.5,681425.625882383
E1194,Finance,Analyst,Female,4.1,313464.4516506396
E1195,HR,Associate,Female,2.4,473787.87572597584
E1196,Operations,Manager,Male,2.0,974718.814878153
E1197,Finance,Manager,Male,4.3,629623.6521842943
E1198,HR,Analyst,Female,1.7,603080.8561248119
E1199,HR,Analyst,Male,3.1,585672.4467960193
