EmployeeID,Department,JobLevel,Gender,Q1,Q2,Q3,Q4,Q5
E2135,Finance,Senior Manager,Female,3.8,3.0,3.8,5.0,4.7
E2136,Operations,Analyst,Female,3.3,3.3,3.3,5.0,3.8
E2137,IT,Associate,Female,4.0,4.4,3.9,3.5,3.6
E2138,IT,Manager,Female,3.8,3.9,4.4,3.9,4.4
E2139,HR,Associate,Male,3.6,3.8,2.3,4.3,3.9
E2140,Finance,Senior Manager,Male,4.8,2.1,5.0,4.0,4.9
E2141,Operations,Analyst,Male,2.8,3.9,2.8,3.1,4.8
E2142,HR,Senior Manager,Female,4.0,4.3,4.7,4.4,4.2
E2143,Finance,Analyst,Male,3.8,5.0,3.5,3.6,4.2
E2144,Operations,Analyst,Male,4.3,4.3,3.9,2.7,4.6
E2145,Marketing,Manager,Female,3.1,4.1,3.4,3.9,4.1
E2146,Marketing,Manager,Male,4.1,4.2,5.0,4.2,3.7
E2147,HR,Analyst,Male,4.2,4.3,2.6,3.9,4.0
E2148,HR,Analyst,Female,3.3,4.5,3.4,3.6,3.4
E2149,HR,Manager,Male,3.9,3.1,2.9,5.0,3.3
