EmployeeID,Department,JobLevel,Gender,TenureYears,CTC,AttritionFlag
E4050,Finance,Associate,Female,1.5,644283.7618157674,1
E4051,Marketing,Associate,Male,5.2,802010.0352302069,0
E4052,HR,Analyst,Male,3.0,544976.3382277968,0
E4053,IT,Associate,Female,2.7,581638.4723252247,1
E4054,Marketing,Senior Manager,Female,6.7,911651.929618299,0
E4055,Operations,Associate,Male,5.9,948197.4077883677,0
E4056,Finance,Associate,Female,5.5,655256.9530922928,0
E4057,HR,Associate,Male,4.3,716370.6590413626,0
E4058,Finance,Manager,Female,1.7,888653.8922582405,0
E4059,Marketing,Manager,Male,1.1,1018151.9082692347,1
E4060,HR,Senior Manager,Female,2.6,990173.9483809258,1
E4061,HR,Associate,Male,4.1,681164.2539443885,0
E4062,HR,Associate,Female,4.7,648764.4515066213,0
E4063,Marketing,Senior Manager,Male,5.2,758103.0479629877,0
E4064,Operations,Analyst,Male,3.8,890839.3498587428,0
E4065,IT,Manager,Female,1.5,738338.2544212723,0
E4066,Finance,Analyst,Male,4.5,626937.2672909397,0
E4067,HR,Senior Manager,Female,4.2,1033378.0695221495,0
E4068,HR,Analyst,Male,4.8,766454.9762934336,0
E4069,Operations,Senior Manager,Female,4.3,923811.3518072186,0
E4070,HR,Manager,Female,4.8,1124982.2902342824,0
E4071,Marketing,Associate,Female,3.2,573820.6042994038,1
E4072,Operations,Manager,Male,5.7,821942.8254069603,0
E4073,IT,Analyst,Male,0.8,727113.2515725633,1
E4074,Operations,Senior Manager,Male,2.4,946420.0076543757,0
E4075,Marketing,Senior Manager,Female,4.2,988574.9519668599,1
E4076,Finance,Associate,Female,4.9,654677.0444145235,0
E4077,Operations,Analyst,Female,4.5,561067.9983624124,0
E4078,HR,Senior Manager,Male,5.0,1052305.122601958,0
E4079,IT,Senior Manager,Female,1.6,1122897.3174262547,1
E4080,HR,Senior Manager,Male,2.4,1081208.6697421717,0
E4081,HR,Senior Manager,Female,4.2,1235727.5515192682,0
E4082,Marketing,Manager,Male,3.1,787602.4805822704,1
E4083,HR,Senior Manager,Female,3.5,914523.0325748587,1
E4084,Marketing,Associate,Female,5.1,477553.4087345118,0
E4085,IT,Analyst,Female,1.4,439829.56176312105,1
E4086,Finance,Associate,Female,5.4,976592.0058872888,0
E4087,Finance,Senior Manager,Male,3.3,934676.7415214984,1
E4088,Operations,Senior Manager,Male,3.6,1134281.7453912285,0
E4089,Finance,Associate,Male,1.6,755755.3474102177,0
E4090,HR,Manager,Male,5.5,915164.1254909767,0
E4091,Marketing,Analyst,Male,3.9,750156.9138850712,0
E4092,Operations,Associate,Male,1.9,821681.2979296362,0
E4093,Operations,Associate,Male,2.2,445405.06547153153,1
E4094,Operations,Analyst,Female,4.5,806048.7817744438,0
E4095,IT,Manager,Male,3.2,982931.1820804408,0
E4096,Finance,Analyst,Female,6.7,797237.1680376071,0
E4097,HR,Manager,Male,6.8,951319.1236607839,0
E4098,Operations,Associate,Female,3.7,479705.1282154247,0
E4099,IT,Associate,Male,3.0,593513.0107025712,1
E4100,Marketing,Associate,Female,7.8,693617.1281351495,0
E4101,IT,Senior Manager,Male,3.7,1042722.8064060701,1
E4102,Marketing,Associate,Male,3.6,974257.656064613,1
E4103,Operations,Senior Manager,Male,2.3,989191.1182855864,0
E4104,IT,Senior Manager,Male,2.0,761996.623316894,0
E4105,Finance,Manager,Male,2.3,834444.4804427383,0
E4106,Finance,Analyst,Male,2.6,496136.8530189216,0
E4107,HR,Manager,Female,0.7,827534.1641056958,0
E4108,Operations,Analyst,Male,0.5,714008.3945534404,1
E4109,Marketing,Associate,Female,3.7,501367.27508026036,0
E4110,HR,Senior Manager,Female,2.9,847176.5391614125,0
E4111,Finance,Senior Manager,Male,4.1,1161067.5669034717,0
E4112,Finance,Analyst,Male,0.3,617253.9118721125,1
E4113,Marketing,Senior Manager,Male,3.2,1060701.01146757,0
E4114,IT,Analyst,Male,3.9,487204.6002391771,0
E4115,Finance,Senior Manager,Male,2.9,840596.1214794767,1
E4116,IT,Senior Manager,Male,5.7,963196.7473007913,0
E4117,Finance,Analyst,Female,7.3,590900.8779278069,0
E4118,IT,Analyst,Male,2.1,372942.8411080759,1
E4119,Operations,Senior Manager,Male,0.1,722379.6085491765,1
E4120,Operations,Associate,Male,4.0,796308.7534844901,0
E4121,Finance,Senior Manager,Female,0.3,1094255.7471114174,1
E4122,IT,Manager,Male,2.5,862018.9517978325,0
E4123,HR,Analyst,Male,6.7,734525.8973798298,0
E4124,Marketing,Analyst,Male,3.0,466321.1661877069,0
E4125,IT,Senior Manager,Female,0.8,852127.002113637,1
E4126,HR,Senior Manager,Female,3.1,811923.0709273224,0
E4127,Marketing,Analyst,Male,3.2,611527.7824438153,0
E4128,Finance,Manager,Male,3.1,742499.612876481,0
E4129,IT,Senior Manager,Male,3.8,1026291.0974354114,0
E4130,Marketing,Senior Manager,Male,1.3,1171639.8569619404,0
E4131,Finance,Senior Manager,Male,3.3,962827.4434417271,0
E4132,HR,Manager,Male,4.9,874982.4196895253,0
E4133,Operations,Associate,Female,5.4,763068.6247802736,0
E4134,Marketing,Senior Manager,Female,2.3,1014225.5287809153,1
E4135,Operations,Senior Manager,Male,1.2,976283.9558664785,0
E4136,Finance,Senior Manager,Female,3.4,928782.4714091191,0
E4137,Operations,Associate,Male,3.2,437722.64317535417,0
E4138,Operations,Manager,Male,2.4,853926.7351711672,0
E4139,HR,Senior Manager,Male,3.8,805848.7288611062,1
E4140,Finance,Analyst,Female,6.0,470073.7727678249,0
E4141,HR,Associate,Female,5.4,784079.1542807528,0
E4142,Finance,Senior Manager,Female,2.2,1226296.6338914267,1
E4143,Operations,Senior Manager,Female,1.1,1097873.1260415001,1
E4144,HR,Senior Manager,Female,5.5,859406.9686385031,0
E4145,HR,Associate,Male,6.3,682493.022810157,0
E4146,Marketing,Associate,Male,4.1,759048.2758156832,1
E4147,Operations,Associate,Female,3.2,841621.2409739674,1
E4148,Finance,Associate,Female,5.1,457720.2040142729,0
E4149,Operations,Analyst,Female,6.1,350626.20179464883,1
E4150,Operations,Manager,Male,5.6,1009005.7705241374,0
E4151,Operations,Senior Manager,Female,1.3,898377.8568068123,1
E4152,Marketing,Analyst,Male,1.3,567761.8454566897,1
E4153,HR,Senior Manager,Male,2.9,1076949.079840401,0
E4154,IT,Manager,Male,6.1,1049352.5716184934,0
E4155,Operations,Analyst,Male,2.4,568616.7189383208,0
E4156,Finance,Senior Manager,Female,0.1,839119.4900255715,1
E4157,Marketing,Associate,Female,5.4,962337.4235322349,0
E4158,IT,Manager,Male,1.0,751130.3611270658,0
E4159,Marketing,Analyst,Female,3.4,642024.173822941,0
E4160,Operations,Senior Manager,Female,1.9,1023609.1566696133,0
E4161,Operations,Senior Manager,Male,2.6,957832.1593682581,0
E4162,Marketing,Analyst,Male,4.6,600963.3404716407,0
E4163,Marketing,Senior Manager,Female,2.6,943558.5294111255,1
E4164,HR,Manager,Male,3.3,784498.3455176809,1
E4165,Marketing,Analyst,Male,3.0,839797.0755757076,0
E4166,HR,Associate,Female,4.6,675677.9522956259,0
E4167,Finance,Senior Manager,Female,4.9,909927.0765365985,0
E4168,HR,Analyst,Male,5.8,655446.3288297141,0
E4169,IT,Senior Manager,Male,3.3,1027157.5388715416,0
E4170,IT,Associate,Female,0.4,550984.8796635292,1
E4171,Operations,Analyst,Female,1.1,621441.464214556,1
E4172,IT,Senior Manager,Male,7.0,1294695.0219288948,0
E4173,HR,Manager,Female,4.8,915126.6712416685,0
E4174,Marketing,Analyst,Female,0.1,518598.93003989675,1
E4175,HR,Senior Manager,Male,1.9,866872.8602623325,1
E4176,HR,Manager,Male,3.2,769186.413345431,0
E4177,Finance,Manager,Female,0.5,952186.5384176301,1
E4178,Marketing,Analyst,Female,1.4,635887.0296166724,0
E4179,Operations,Analyst,Female,7.6,462092.3112620365,0
E4180,IT,Associate,Male,1.6,677099.3667179834,1
E4181,IT,Associate,Female,5.7,1013752.1181330892,0
E4182,Finance,Associate,Female,1.0,794504.8834854782,1
E4183,IT,Manager,Female,2.6,824107.7468543797,0
E4184,Marketing,Associate,Male,8.8,494554.450740727,0
E4185,Marketing,Associate,Female,4.0,790153.975764815,0
E4186,Operations,Associate,Male,5.7,734697.4730206344,0
E4187,HR,Associate,Male,4.1,661252.7148867314,0
E4188,Marketing,Manager,Male,4.0,788521.1586753884,0
E4189,HR,Associate,Female,4.7,664558.449593455,0
E4190,Finance,Senior Manager,Male,4.3,955610.5779472531,0
E4191,IT,Analyst,Female,5.8,592290.9414617271,0
E4192,IT,Senior Manager,Male,0.0,1149288.2251070987,0
E4193,Marketing,Associate,Female,1.7,621935.049202677,1
E4194,Operations,Analyst,Male,2.3,806165.7139756227,0
E4195,Operations,Senior Manager,Male,0.8,1430662.280048999,1
E4196,HR,Manager,Male,5.6,873485.837119374,0
E4197,Operations,Analyst,Female,3.4,642833.1112286485,0
E4198,IT,Manager,Female,4.5,936782.3378925086,0
E4199,Marketing,Senior Manager,Female,4.6,973437.1021882874,0
